City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mana,5.6592,-53.7767,80.91,63.0,66.0,8.46,GF,1678900885.0
westport,41.1415,-73.3579,44.89,54.0,0.0,25.32,US,1678900885.0
pedernales,18.0384,-71.744,82.45,64.0,8.0,10.63,DO,1678900886.0
mataura,-46.1927,168.8643,46.4,97.0,100.0,2.37,NZ,1678900886.0
imbituba,-28.24,-48.6703,81.55,67.0,66.0,13.67,BR,1678900887.0
mahebourg,-20.4081,57.7,79.25,73.0,75.0,12.66,MU,1678900888.0
dudinka,69.4058,86.1778,20.62,89.0,100.0,21.18,RU,1678900889.0
kannur,11.8675,75.3576,79.57,79.0,1.0,3.47,IN,1678900890.0
cabo san lucas,22.8909,-109.9124,85.6,36.0,0.0,5.75,MX,1678900870.0
ayan,56.45,138.1667,19.29,95.0,100.0,16.55,RU,1678900891.0
karratha,-20.7377,116.8463,84.43,68.0,0.0,8.97,AU,1678900892.0
cape town,-33.9258,18.4232,75.61,76.0,20.0,18.01,ZA,1678900892.0
bagotville,-28.9833,153.4167,68.34,97.0,28.0,6.62,AU,1678900893.0
itarema,-2.9248,-39.9167,82.33,76.0,99.0,9.66,BR,1678900894.0
nikolskoye,59.7035,30.7861,34.81,91.0,100.0,6.29,RU,1678900894.0
sao jose da coroa grande,-8.8978,-35.1478,82.78,67.0,97.0,9.84,BR,1678900895.0
busselton,-33.65,115.3333,66.76,93.0,2.0,4.79,AU,1678900896.0
evensk,61.95,159.2333,17.29,95.0,100.0,3.33,RU,1678900896.0
sovik,65.9333,12.4667,28.51,93.0,40.0,12.66,NO,1678900902.0
siverek,37.755,39.3167,50.02,89.0,100.0,18.5,TR,1678900902.0
new norfolk,-42.7826,147.0587,65.91,65.0,100.0,5.99,AU,1678900903.0
el cobre,20.0489,-75.9469,80.04,74.0,40.0,8.05,CU,1678900904.0
faanui,-16.4833,-151.75,82.38,75.0,71.0,9.19,PF,1678900904.0
usinsk,65.9939,57.5281,32.88,99.0,100.0,16.6,RU,1678900905.0
williston,48.147,-103.618,27.03,79.0,100.0,1.01,US,1678900694.0
marienburg,54.0359,19.0266,37.89,69.0,64.0,6.71,PL,1678900906.0
kenai,60.5544,-151.2583,19.45,58.0,0.0,21.85,US,1678900907.0
coihaique,-45.5752,-72.0662,55.35,41.0,20.0,5.75,CL,1678900908.0
kahului,20.8947,-156.47,76.3,82.0,20.0,21.85,US,1678900908.0
calabozo,8.9242,-67.4293,93.81,18.0,53.0,8.75,VE,1678900909.0
aguimes,27.9054,-15.4461,69.66,73.0,0.0,16.11,ES,1678900909.0
xuddur,4.1213,43.8894,84.96,46.0,77.0,8.88,SO,1678900910.0
naze,28.3667,129.4833,65.32,76.0,86.0,11.23,JP,1678900911.0
abalak,58.1286,68.5944,12.22,97.0,11.0,1.77,RU,1678900911.0
lodja,-3.4833,23.4333,73.31,80.0,66.0,1.57,CD,1678900912.0
port alfred,-33.5906,26.891,70.18,89.0,37.0,3.0,ZA,1678900912.0
stornoway,58.2093,-6.3865,39.16,89.0,75.0,0.0,GB,1678900913.0
kaitangata,-46.2817,169.8464,49.15,96.0,92.0,4.9,NZ,1678900913.0
norman wells,65.282,-126.8329,-16.56,69.0,40.0,2.3,CA,1678900914.0
salinopolis,-0.6136,-47.3561,73.62,97.0,100.0,2.68,BR,1678900916.0
luang prabang,19.8856,102.1347,73.65,48.0,27.0,1.7,LA,1678900916.0
jalu,29.0331,21.5482,71.98,15.0,79.0,6.2,LY,1678900917.0
barra patuca,15.8,-84.2833,86.81,58.0,59.0,8.93,HN,1678900917.0
sept-iles,50.2001,-66.3821,31.05,92.0,100.0,8.05,CA,1678900918.0
saquarema,-22.92,-42.5103,86.14,77.0,14.0,8.86,BR,1678900918.0
yellowknife,62.456,-114.3525,-3.44,59.0,75.0,8.05,CA,1678900919.0
slonim,53.0867,25.3219,38.84,72.0,100.0,4.83,BY,1678900920.0
hilo,19.7297,-155.09,79.29,82.0,0.0,3.44,US,1678900920.0
wadi maliz,36.4681,8.5495,58.66,73.0,100.0,9.24,TN,1678900921.0
bengkulu,-3.8004,102.2655,76.39,89.0,100.0,5.64,ID,1678900922.0
sembakung,3.8167,117.25,72.75,99.0,73.0,1.99,ID,1678900923.0
santiago del estero,-27.7951,-64.2615,100.15,28.0,0.0,2.19,AR,1678900903.0
bethel,41.3712,-73.414,42.91,59.0,100.0,11.5,US,1678900924.0
shitanjing,39.2342,106.3439,36.75,24.0,87.0,7.11,CN,1678900925.0
ahipara,-35.1667,173.1667,60.4,88.0,99.0,8.81,NZ,1678900925.0
north bend,43.4065,-124.2243,44.08,98.0,100.0,3.44,US,1678900926.0
cidreira,-30.1811,-50.2056,80.51,75.0,97.0,18.19,BR,1678900927.0
saint-pierre,-21.3393,55.4781,78.48,69.0,0.0,14.97,RE,1678900706.0
bitung,1.4451,125.1824,76.05,80.0,100.0,3.04,ID,1678900927.0
srednekolymsk,67.45,153.6833,0.95,99.0,86.0,6.8,RU,1678900933.0
dukat,62.55,155.55,16.95,91.0,100.0,8.1,RU,1678900934.0
constitucion,-35.3333,-72.4167,69.73,52.0,0.0,8.46,CL,1678900935.0
arkhangelsk,64.5401,40.5433,39.31,100.0,100.0,8.95,RU,1678900729.0
muros,42.7762,-9.0603,64.15,75.0,64.0,7.2,ES,1678900936.0
avarua,-21.2078,-159.775,77.05,83.0,20.0,3.44,CK,1678900937.0
chavakkad,10.5333,76.05,80.51,81.0,10.0,4.27,IN,1678900937.0
khatanga,71.9667,102.5,19.42,79.0,61.0,19.51,RU,1678900938.0
tumaco,1.7986,-78.8156,80.4,70.0,99.0,3.58,CO,1678900939.0
honiara,-9.4333,159.95,78.58,88.0,100.0,2.04,SB,1678900940.0
tuktoyaktuk,69.4541,-133.0374,-34.6,74.0,75.0,3.44,CA,1678900941.0
tambacounda,13.7539,-13.7586,104.05,11.0,0.0,6.91,SN,1678900942.0
mehriz,31.5917,54.4318,64.9,44.0,34.0,4.34,IR,1678900942.0
castro,-24.7911,-50.0119,70.68,87.0,100.0,6.6,BR,1678900943.0
kochevo,59.5994,54.3125,32.32,85.0,96.0,10.94,RU,1678900943.0
moramanga,-18.9333,48.2,65.73,96.0,100.0,2.33,MG,1678900944.0
morant bay,17.8815,-76.4093,87.42,72.0,53.0,9.78,JM,1678900945.0
banda aceh,5.5577,95.3222,78.3,85.0,69.0,9.66,ID,1678900945.0
dingle,10.9995,122.6711,76.82,90.0,100.0,6.73,PH,1678900946.0
arraial do cabo,-22.9661,-42.0278,85.96,58.0,20.0,13.8,BR,1678900947.0
stawell,-37.05,142.7667,62.19,39.0,7.0,7.25,AU,1678900947.0
kupang,-10.1667,123.5833,76.91,88.0,78.0,4.61,ID,1678900948.0
omsukchan,62.5333,155.8,13.15,94.0,100.0,7.61,RU,1678900949.0
gbarnga,6.9956,-9.4722,79.12,74.0,87.0,8.72,LR,1678900949.0
oneonta,42.4529,-75.0638,30.81,95.0,100.0,17.69,US,1678900861.0
sitka,57.0531,-135.33,33.69,86.0,100.0,10.36,US,1678900950.0
pevek,69.7008,170.3133,-9.67,89.0,31.0,9.31,RU,1678900943.0
korla,41.7597,86.1469,47.01,46.0,3.0,3.33,CN,1678900951.0
sehithwa,-20.4667,22.7167,79.11,29.0,3.0,7.83,BW,1678900952.0
synya,65.3718,58.0387,32.92,98.0,100.0,10.45,RU,1678900952.0
olds,51.7834,-114.102,24.85,57.0,15.0,11.5,CA,1678900953.0
comodoro rivadavia,-45.8667,-67.5,67.86,17.0,0.0,12.66,AR,1678900881.0
katsuura,35.1333,140.3,56.28,71.0,68.0,8.1,JP,1678900954.0
saldanha,-33.0117,17.9442,89.65,77.0,54.0,12.75,ZA,1678900955.0
fairbanks,64.8378,-147.7164,-2.24,57.0,0.0,10.36,US,1678900955.0
arman,59.7,150.1667,28.02,97.0,100.0,5.68,RU,1678900956.0
bathsheba,13.2167,-59.5167,86.61,58.0,40.0,20.71,BB,1678900956.0
launceston,-41.45,147.1667,60.62,81.0,75.0,18.41,AU,1678900957.0
amalapuram,16.5833,82.0167,75.88,87.0,85.0,2.86,IN,1678900958.0
jungapeo,19.45,-100.4833,75.81,54.0,74.0,6.49,MX,1678900958.0
pisco,-13.7,-76.2167,82.45,74.0,75.0,10.36,PE,1678900913.0
clyde river,70.4692,-68.5914,-10.97,84.0,75.0,3.44,CA,1678900899.0
broken hill,-31.95,141.4333,75.87,27.0,1.0,11.7,AU,1678900959.0
dalvik,65.9702,-18.5286,17.53,80.0,100.0,5.3,IS,1678900960.0
esperance,-33.8667,121.9,67.59,75.0,0.0,2.68,AU,1678900961.0
laguna,38.421,-121.4238,52.09,84.0,40.0,9.22,US,1678900961.0
galveston,29.3669,-94.9669,69.04,67.0,40.0,16.11,US,1678900962.0
kodiak,57.79,-152.4072,24.31,68.0,100.0,21.85,US,1678900963.0
alpena,45.0617,-83.4327,40.1,28.0,100.0,9.22,US,1678900968.0
victoria,22.2855,114.1577,70.2,86.0,3.0,8.01,HK,1678900969.0
maxixe,-23.8597,35.3472,74.16,88.0,82.0,5.84,MZ,1678900969.0
machilipatnam,16.1667,81.1333,79.3,80.0,90.0,9.93,IN,1678900970.0
svetlyy,54.675,20.1347,37.45,77.0,77.0,9.48,RU,1678900971.0
kralendijk,12.15,-68.2667,78.15,75.0,67.0,22.46,BQ,1678900971.0
maniitsoq,65.4167,-52.9,19.83,71.0,100.0,6.89,GL,1678900972.0
ende,-8.8432,121.6623,76.78,88.0,97.0,1.43,ID,1678900972.0
kholm-zhirkovskiy,55.5189,33.4731,35.13,100.0,100.0,8.14,RU,1678900973.0
nacala,-14.5428,40.6728,75.74,89.0,82.0,4.79,MZ,1678900974.0
koupela,12.1794,-0.3517,100.72,5.0,0.0,6.46,BF,1678900974.0
altos,-5.0381,-42.46,80.91,90.0,100.0,5.44,BR,1678900975.0
touros,-5.1989,-35.4608,83.89,67.0,100.0,4.43,BR,1678900975.0
nova gradiska,45.255,17.3831,46.29,50.0,100.0,10.13,HR,1678900976.0
port hardy,50.6996,-127.4199,41.0,93.0,75.0,8.05,CA,1678900976.0
te anau,-45.4167,167.7167,48.42,88.0,100.0,1.74,NZ,1678900977.0
portland,45.5234,-122.6762,46.35,83.0,20.0,7.0,US,1678900144.0
bhiwani,28.7833,76.1333,78.55,15.0,100.0,2.39,IN,1678900978.0
fort nelson,58.8053,-122.7002,7.95,74.0,100.0,4.61,CA,1678900978.0
malko tarnovo,41.9833,27.5333,48.36,70.0,70.0,5.01,BG,1678900979.0
lata,40.1629,-8.3327,74.91,42.0,6.0,3.69,PT,1678900981.0
nabari,34.6167,136.0833,51.03,87.0,99.0,2.28,JP,1678900981.0
cadillac,44.2519,-85.4012,37.8,51.0,40.0,10.36,US,1678900984.0
klaksvik,62.2266,-6.589,34.72,86.0,99.0,26.51,FO,1678900985.0
wajid,3.8093,43.2471,86.9,45.0,86.0,15.01,SO,1678900986.0
port blair,11.6667,92.75,82.44,78.0,40.0,4.61,IN,1678900987.0
rondonopolis,-16.4708,-54.6356,85.03,67.0,98.0,1.52,BR,1678900988.0
innisfail,-17.5333,146.0333,72.18,93.0,54.0,2.57,AU,1678900988.0
asau,46.4333,26.4,47.32,59.0,100.0,5.08,RO,1678900990.0
mandalgovi,45.7625,106.2708,18.64,93.0,100.0,11.65,MN,1678900990.0
pierre,44.3683,-100.351,42.28,75.0,0.0,13.8,US,1678900991.0
brokopondo,4.75,-55.1667,81.21,67.0,75.0,7.25,SR,1678900992.0
alofi,-19.0595,-169.9187,76.89,94.0,78.0,4.61,NU,1678900993.0
soyo,-6.1349,12.3689,81.54,75.0,35.0,9.62,AO,1678900994.0
viet tri,21.3019,105.4308,70.47,80.0,99.0,9.15,VN,1678900995.0
polunochnoye,60.8697,60.4153,30.42,92.0,100.0,5.61,RU,1678900996.0
tamandare,-8.7597,-35.1047,83.39,65.0,99.0,9.71,BR,1678900997.0
cherskiy,68.75,161.3,6.21,86.0,96.0,11.59,RU,1678900997.0
zaragoza,41.6561,-0.8773,69.8,24.0,0.0,3.44,ES,1678900998.0
tiksi,71.6872,128.8694,-6.45,98.0,7.0,7.65,RU,1678900999.0
severo-kurilsk,50.6789,156.125,32.13,97.0,84.0,8.37,RU,1678901000.0
hami,42.8,93.45,49.37,25.0,92.0,5.55,CN,1678901001.0
bundaberg,-24.85,152.35,75.22,99.0,1.0,4.83,AU,1678901002.0
provideniya,64.3833,-173.3,-8.88,73.0,7.0,3.96,RU,1678901002.0
gravdal,68.1214,13.5031,28.29,86.0,75.0,10.36,NO,1678901003.0
yulara,-25.2406,130.9889,77.85,21.0,26.0,8.03,AU,1678901004.0
samarai,-10.6167,150.6667,80.96,79.0,100.0,3.38,PG,1678901010.0
noumea,-22.2763,166.4572,73.38,95.0,100.0,11.61,NC,1678900951.0
burnie,-41.0667,145.9167,60.46,90.0,100.0,12.12,AU,1678901011.0
padang,-0.9492,100.3543,77.05,87.0,98.0,4.16,ID,1678901012.0
boddam,57.4667,-1.7833,41.38,69.0,97.0,10.4,GB,1678901013.0
saint anthony,45.0205,-93.218,40.93,60.0,0.0,13.8,US,1678901014.0
saint-philippe,-21.3585,55.7679,78.39,81.0,78.0,12.37,RE,1678901015.0
arlit,18.7369,7.3853,93.02,6.0,0.0,6.82,NE,1678901015.0
faya,18.3851,42.4509,57.31,71.0,6.0,3.24,SA,1678901016.0
cannington,-32.0167,115.95,67.12,94.0,0.0,0.0,AU,1678901016.0
port keats,-14.25,129.55,78.6,83.0,94.0,4.18,AU,1678901017.0
uppsala,60.0,17.75,35.11,64.0,0.0,4.61,SE,1678901018.0
mehamn,71.0357,27.8492,28.35,69.0,40.0,13.8,NO,1678901018.0
pasan,22.85,82.2,75.13,30.0,99.0,3.78,IN,1678901019.0
krasnoselkup,65.7,82.4667,12.96,92.0,78.0,12.84,RU,1678901020.0
buin,-33.7333,-70.75,82.72,26.0,0.0,7.31,CL,1678901020.0
strezhevoy,60.7333,77.5889,15.93,98.0,100.0,2.37,RU,1678901021.0
mitchell,43.7094,-98.0298,39.18,75.0,100.0,17.27,US,1678900856.0
beringovskiy,63.05,179.3167,1.89,84.0,95.0,3.27,RU,1678901022.0
isangel,-19.55,169.2667,78.31,85.0,100.0,4.83,VU,1678901023.0
magadan,59.5667,150.8,27.54,97.0,100.0,6.78,RU,1678901024.0
gongzhuling,43.5008,124.8198,26.15,46.0,47.0,12.3,CN,1678901024.0
leningradskiy,69.3833,178.4167,-14.19,80.0,69.0,4.97,RU,1678901025.0
kerema,-7.9631,145.7785,77.2,88.0,100.0,3.36,PG,1678901026.0
balakhta,55.38,91.6,16.86,98.0,15.0,3.22,RU,1678901026.0
jacobabad,28.281,68.4388,80.73,15.0,88.0,8.77,PK,1678901027.0
mount pleasant,32.7941,-79.8626,55.18,35.0,0.0,12.66,US,1678900959.0
olinda,-8.0089,-34.8553,82.13,69.0,75.0,10.36,BR,1678901028.0
buarcos,40.166,-8.8768,64.74,61.0,7.0,5.21,PT,1678901029.0
ocampo,21.65,-101.5,65.46,39.0,55.0,7.27,MX,1678901029.0
eldorado,-23.7869,-54.2836,78.84,82.0,86.0,7.63,BR,1678901030.0
torbay,47.6666,-52.7314,31.28,89.0,100.0,17.27,CA,1678901030.0
byron bay,-28.65,153.6167,70.29,90.0,9.0,3.62,AU,1678901031.0
labuhan,-6.8844,112.2051,78.66,80.0,83.0,0.69,ID,1678901032.0
labrea,-7.2586,-64.7981,84.07,67.0,91.0,3.76,BR,1678901032.0
pringsewu,-5.3582,104.9744,74.14,97.0,93.0,3.33,ID,1678901033.0
half moon bay,37.4636,-122.4286,52.9,79.0,0.0,6.91,US,1678900970.0
ilulissat,69.2167,-51.1,21.22,79.0,75.0,10.36,GL,1678901033.0
nemuro,43.3236,145.575,32.88,95.0,98.0,4.68,JP,1678901034.0
newcastleton,55.1796,-2.8127,37.74,92.0,100.0,6.4,GB,1678901034.0
belyy yar,53.6039,91.3903,24.69,89.0,7.0,2.24,RU,1678901035.0
saint-augustin,51.226,-58.6502,28.8,79.0,100.0,21.77,CA,1678901035.0
dhanwar,24.4167,85.9833,79.3,21.0,62.0,1.43,IN,1678901036.0
hasaki,35.7333,140.8333,43.2,67.0,31.0,7.49,JP,1678901036.0
mastic beach,40.7668,-72.8521,45.1,61.0,40.0,21.85,US,1678901037.0
tsaratanana,-16.7833,47.65,73.22,89.0,100.0,3.31,MG,1678901043.0
hobyo,5.3505,48.5268,81.41,81.0,9.0,13.31,SO,1678901043.0
karlstad,59.3793,13.5036,37.96,52.0,40.0,6.91,SE,1678901044.0
katherine,-14.4667,132.2667,75.52,88.0,38.0,0.0,AU,1678901045.0
livingston,55.9029,-3.5226,39.56,76.0,40.0,3.44,GB,1678900792.0
caluquembe,-13.7833,14.6833,69.6,57.0,81.0,3.98,AO,1678901045.0
vung tau,10.346,107.0843,76.28,85.0,13.0,22.21,VN,1678901046.0
san patricio,28.017,-97.5169,75.07,65.0,97.0,14.72,US,1678901047.0
iroquois falls,48.7669,-80.6831,29.44,75.0,67.0,9.13,CA,1678901048.0
conakry,9.538,-13.6773,89.67,45.0,20.0,11.5,GN,1678901049.0
gat,31.61,34.7642,57.88,100.0,28.0,3.04,IL,1678901043.0
san juan de uraba,8.7592,-76.5297,85.3,64.0,91.0,8.97,CO,1678901050.0
sesimbra,38.4445,-9.1015,71.22,52.0,4.0,5.82,PT,1678901051.0
bezhetsk,57.7851,36.6965,34.63,100.0,100.0,12.41,RU,1678901052.0
charters towers,-20.1,146.2667,75.49,87.0,25.0,7.38,AU,1678901053.0
tiarei,-17.5333,-149.3333,78.82,79.0,42.0,11.41,PF,1678901053.0
jammalamadugu,14.8333,78.4,81.3,61.0,41.0,10.67,IN,1678901054.0
krasnorechenskiy,44.6265,135.3532,20.46,95.0,100.0,4.76,RU,1678901055.0
oranjemund,-28.55,16.4333,65.62,88.0,2.0,5.17,NA,1678900819.0
townsville,-19.25,146.8,79.68,83.0,42.0,4.61,AU,1678901057.0
codrington,-38.2667,141.9667,57.43,83.0,50.0,11.43,AU,1678901058.0
hatillo,18.4863,-66.8254,85.51,79.0,39.0,3.0,PR,1678901058.0
ouffet,50.4387,5.4657,44.51,73.0,100.0,4.54,BE,1678901062.0
odiongan,12.4017,121.9919,76.8,87.0,77.0,13.56,PH,1678901063.0
ketchikan,55.3422,-131.6461,34.27,93.0,100.0,6.91,US,1678901064.0
sao filipe,14.8961,-24.4956,73.78,65.0,0.0,12.03,CV,1678901064.0
kruisfontein,-34.0033,24.7314,66.88,95.0,100.0,18.14,ZA,1678901065.0
lakes entrance,-37.8811,147.981,63.16,69.0,81.0,4.92,AU,1678901066.0
grindavik,63.8424,-22.4338,26.55,42.0,20.0,17.27,IS,1678901066.0
cayambe,0.05,-78.1333,60.06,73.0,100.0,3.98,EC,1678900835.0
kupiskis,55.8333,24.9667,36.97,71.0,100.0,6.38,LT,1678901068.0
juba,4.8517,31.5825,83.48,50.0,92.0,2.28,SS,1678900940.0
novyy urgal,51.0736,132.5642,15.66,94.0,100.0,5.41,RU,1678901070.0
hamilton,39.1834,-84.5333,45.59,47.0,0.0,5.75,US,1678901071.0
darhan,49.4867,105.9228,6.51,92.0,6.0,0.6,MN,1678901072.0
key largo,25.0865,-80.4473,73.99,65.0,100.0,21.45,US,1678901073.0
tuatapere,-46.1333,167.6833,50.4,83.0,100.0,7.11,NZ,1678901059.0
brae,60.3964,-1.353,38.1,73.0,24.0,2.37,GB,1678901074.0
kirakira,-10.4544,161.9205,79.05,81.0,100.0,2.93,SB,1678901074.0
naryan-mar,67.6713,53.087,34.12,99.0,100.0,13.76,RU,1678901075.0
stonehouse,51.75,-2.2833,45.9,89.0,75.0,6.91,GB,1678901076.0
muncar,-8.4333,114.3333,76.23,85.0,92.0,2.17,ID,1678901077.0
garissa,-0.4536,39.6401,90.23,39.0,100.0,3.76,KE,1678901077.0
ust-omchug,61.15,149.6333,3.97,99.0,99.0,3.71,RU,1678901078.0
bubaque,11.2833,-15.8333,78.53,68.0,44.0,10.38,GW,1678901083.0
wollongong,-34.4333,150.8833,65.07,90.0,7.0,7.25,AU,1678900896.0
yumen,40.2833,97.2,43.75,31.0,74.0,10.69,CN,1678901084.0
paita,-5.0892,-81.1144,81.99,69.0,86.0,7.94,PE,1678901085.0
lubao,14.9167,120.55,78.51,82.0,76.0,5.82,PH,1678901086.0
badvel,14.75,79.05,77.74,76.0,58.0,7.67,IN,1678901086.0
kourou,5.1552,-52.6478,86.05,63.0,58.0,8.41,GF,1678901087.0
sao felix do xingu,-6.6447,-51.995,72.25,99.0,100.0,1.25,BR,1678901087.0
kavieng,-2.5744,150.7967,79.18,82.0,100.0,7.9,PG,1678901088.0
mantua,45.1667,10.7833,58.15,71.0,32.0,1.01,IT,1678901088.0
antoniny,49.8097,26.8771,40.26,89.0,100.0,12.12,UA,1678901089.0
hazorasp,41.3194,61.0742,55.24,44.0,45.0,19.69,UZ,1678901089.0
ekhabi,53.5102,142.9671,29.26,89.0,100.0,22.5,RU,1678901090.0
northam,51.0333,-4.2167,50.25,95.0,100.0,16.87,GB,1678901090.0
ostrovnoy,68.0531,39.5131,34.07,98.0,100.0,12.46,RU,1678901091.0
pangai,-19.8,-174.35,80.71,78.0,40.0,11.5,TO,1678901092.0
fayaoue,-20.65,166.5333,79.02,83.0,100.0,7.85,NC,1678901092.0
san jose,37.3394,-121.895,53.26,75.0,75.0,8.05,US,1678900767.0
hof,50.3167,11.9167,34.83,85.0,0.0,10.0,DE,1678901093.0
abnub,27.2696,31.1511,68.22,25.0,0.0,7.11,EG,1678901093.0
